;"Ano Fonte / Ano Fonte / Ano Fonte / Ano Fonte / Ano Fonte / Ano Fonte / Ano Fonte";"Fonte / Fonte / Fonte / Fonte / Fonte / Fonte / Fonte";"Marcador de Fonte / Marcador de Fonte / Marcador de Fonte / Marcador de Fonte / Marcador de Fonte / Marcador de Fonte / Marcador de Fonte";"Fonte / Fonte / Fonte / Fonte / Fonte / Fonte / Fonte";"Fonte Detalhada / Fonte Detalhada / Fonte Detalhada / Fonte Detalhada / Fonte Detalhada / Fonte Detalhada / Fonte Detalhada";"Saldo do Mês Anterior";"Movimento";"Movimento";"Saldo Atual"
;"Ano Fonte / Ano Fonte / Ano Fonte / Ano Fonte / Ano Fonte / Ano Fonte / Ano Fonte";"Fonte / Fonte / Fonte / Fonte / Fonte / Fonte / Fonte";"Marcador de Fonte / Marcador de Fonte / Marcador de Fonte / Marcador de Fonte / Marcador de Fonte / Marcador de Fonte / Marcador de Fonte";"Fonte / Fonte / Fonte / Fonte / Fonte / Fonte / Fonte";"Fonte Detalhada / Fonte Detalhada / Fonte Detalhada / Fonte Detalhada / Fonte Detalhada / Fonte Detalhada / Fonte Detalhada";"Saldo do Mês Anterior";"Débito";"Crédito";"Saldo Atual"
"Executivo - 10111";"1";"660";"224";"Transferência de Recursos do Fundo Nacional de Assistência Social - FNAS";"000033";73407,69;0;0;73407,69
"Executivo - 10111";"1";"660";"224";"Transferência de Recursos do Fundo Nacional de Assistência Social - FNAS";"000041";1649820,04;0;0;1649820,04
"Executivo - 10111";"1";"660";"224";"Transferência de Recursos do Fundo Nacional de Assistência Social - FNAS";"000044";5352,83;0;0;5352,83
"Executivo - 10111";"1";"660";"224";"Transferência de Recursos do Fundo Nacional de Assistência Social - FNAS";"000045";3838,15;0;0;3838,15
"Executivo - 10111";"1";"660";"224";"Transferência de Recursos do Fundo Nacional de Assistência Social - FNAS";"000046";6,43;0;0;6,43
"Executivo - 10111";"1";"660";"224";"Transferência de Recursos do Fundo Nacional de Assistência Social - FNAS";"000047";17,72;0;0;17,72
"Executivo - 10111";"1";"660";"224";"Transferência de Recursos do Fundo Nacional de Assistência Social - FNAS";"000048";22,27;0;0;22,27
"Executivo - 10111";"1";"660";"224";"Transferência de Recursos do Fundo Nacional de Assistência Social - FNAS";"000053";687122,91;0;0;687122,91
"Executivo - 10111";"1";"660";"224";"Transferência de Recursos do Fundo Nacional de Assistência Social - FNAS";"000054";236059,78;0;0;236059,78
"Executivo - 10111";"1";"660";"224";"Transferência de Recursos do Fundo Nacional de Assistência Social - FNAS";"000059";577,74;0;0;577,74
"Executivo - 10111";"1";"660";"224";"Transferência de Recursos do Fundo Nacional de Assistência Social - FNAS";"000063";292817,34;0;0;292817,34
"Executivo - 10111";"1";"660";"224";"Transferência de Recursos do Fundo Nacional de Assistência Social - FNAS";"000091";26954,5;0;0;26954,5
"Executivo - 10111";"1";"660";"224";"Transferência de Recursos do Fundo Nacional de Assistência Social - FNAS";"000093";121762,88;0;0;121762,88
"Executivo - 10111";"1";"660";"224";"Transferência de Recursos do Fundo Nacional de Assistência Social - FNAS";"000094";41655,72;0;0;41655,72
"Executivo - 10111";"1";"660";"224";"Transferência de Recursos do Fundo Nacional de Assistência Social - FNAS";"000095";41655,72;0;0;41655,72
"Executivo - 10111";"1";"660";"224";"Transferência de Recursos do Fundo Nacional de Assistência Social - FNAS";"000096";4863,02;0;0;4863,02
"Executivo - 10111";"1";"665";"216";"Transferências de Convênios e Instrumentos Congêneres vinculados à Assistência S";"240001";2601,63;0;0;2601,63
"Executivo - 10111";"1";"700";"212";"Outras Transferências de Convênios ou Instrumentos Congêneres da União";"000000";350297,85;0;0;350297,85
"Executivo - 10111";"1";"700";"212";"Outras Transferências de Convênios ou Instrumentos Congêneres da União";"001007";282,68;0;0;282,68
"Executivo - 10111";"1";"700";"212";"Outras Transferências de Convênios ou Instrumentos Congêneres da União";"002262";11961,87;0;0;11961,87
"Executivo - 10111";"1";"700";"212";"Outras Transferências de Convênios ou Instrumentos Congêneres da União";"003519";779,29;0;0;779,29
"Executivo - 10111";"1";"700";"212";"Outras Transferências de Convênios ou Instrumentos Congêneres da União";"003729";2353,64;0;0;2353,64
"Executivo - 10111";"1";"700";"212";"Outras Transferências de Convênios ou Instrumentos Congêneres da União";"003771";861,95;0;0;861,95
"Executivo - 10111";"1";"700";"212";"Outras Transferências de Convênios ou Instrumentos Congêneres da União";"003772";847,26;0;0;847,26
"Executivo - 10111";"1";"700";"212";"Outras Transferências de Convênios ou Instrumentos Congêneres da União";"003871";16,68;0;0;16,68
"Executivo - 10111";"1";"700";"212";"Outras Transferências de Convênios ou Instrumentos Congêneres da União";"003891";136,13;0;0;136,13
"Executivo - 10111";"1";"700";"212";"Outras Transferências de Convênios ou Instrumentos Congêneres da União";"003930";30360,7;0;0;30360,7
"Executivo - 10111";"1";"700";"212";"Outras Transferências de Convênios ou Instrumentos Congêneres da União";"004328";407299,89;0;0;407299,89
"Executivo - 10111";"1";"700";"212";"Outras Transferências de Convênios ou Instrumentos Congêneres da União";"004373";2509,28;0;0;2509,28
"Executivo - 10111";"1";"700";"212";"Outras Transferências de Convênios ou Instrumentos Congêneres da União";"004689";328498,28;0;0;328498,28
"Executivo - 10111";"1";"700";"212";"Outras Transferências de Convênios ou Instrumentos Congêneres da União";"005053";10769,04;0;0;10769,04
"Executivo - 10111";"1";"700";"212";"Outras Transferências de Convênios ou Instrumentos Congêneres da União";"005054";213,52;0;0;213,52
"Executivo - 10111";"1";"700";"212";"Outras Transferências de Convênios ou Instrumentos Congêneres da União";"005056";2491,24;0;0;2491,24
"Executivo - 10111";"1";"700";"212";"Outras Transferências de Convênios ou Instrumentos Congêneres da União";"005061";19568,28;0;0;19568,28
"Executivo - 10111";"1";"700";"212";"Outras Transferências de Convênios ou Instrumentos Congêneres da União";"005106";89,83;0;0;89,83
"Executivo - 10111";"1";"700";"212";"Outras Transferências de Convênios ou Instrumentos Congêneres da União";"005108";304,74;0;0;304,74
"Executivo - 10111";"1";"700";"212";"Outras Transferências de Convênios ou Instrumentos Congêneres da União";"005942";46654,49;0;0;46654,49
"Executivo - 10111";"1";"700";"212";"Outras Transferências de Convênios ou Instrumentos Congêneres da União";"006110";1196,31;0;0;1196,31
"Executivo - 10111";"1";"700";"212";"Outras Transferências de Convênios ou Instrumentos Congêneres da União";"006168";1,2;0;0;1,2
"Executivo - 10111";"1";"700";"212";"Outras Transferências de Convênios ou Instrumentos Congêneres da União";"006245";481,05;0;0;481,05
"Executivo - 10111";"1";"700";"212";"Outras Transferências de Convênios ou Instrumentos Congêneres da União";"006908";6803,03;0;0;6803,03
"Executivo - 10111";"1";"700";"212";"Outras Transferências de Convênios ou Instrumentos Congêneres da União";"007295";1093,59;0;0;1093,59
"Executivo - 10111";"1";"700";"212";"Outras Transferências de Convênios ou Instrumentos Congêneres da União";"007382";166344,35;0;0;166344,35
